%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
0.0, 118883.203125, 118852.1796875, -187500.015625, 118944.3125, 118970.4609375, 118915.140625, 118893.1015625, 118799.921875, -93750.0078125, 81176.4609375, -93750.0078125, -93750.0078125, 81247.46875, 81212.9609375, -93750.0078125, 81214.9921875, 0.010000000707805157, 0.4620000123977661, 0.15400001406669617, 192.0, 0.0, 40.0, 7.0, 56.0, 2.0, 104.0, 0.0, 0.0, 0.0, 1.6166613216418605E9, 2021-03-25 11:35:21.641
2.0, 118903.9453125, 118872.8984375, -187500.015625, 118964.8984375, 118991.140625, 118935.6875, 118913.7109375, 118820.5703125, -187500.015625, 162336.09375, -187500.015625, -187500.015625, 162478.0625, 162409.015625, -187500.015625, 162413.015625, 0.010000000707805157, 0.4620000123977661, 0.15400001406669617, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661321641865E9, 2021-03-25 11:35:21.641
4.0, 118806.828125, 118775.7109375, -187500.015625, 118867.734375, 118893.8671875, 118838.6796875, 118816.5234375, 118723.5625, -187500.015625, 162316.5, -187500.015625, -187500.015625, 162458.46875, 162389.4375, -187500.015625, 162393.484375, 0.010000000707805157, 0.4620000123977661, 0.15400001406669617, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613216418695E9, 2021-03-25 11:35:21.641
6.0, 118760.203125, 118729.265625, -187500.015625, 118821.2421875, 118847.3515625, 118792.140625, 118769.96875, 118677.078125, -187500.015625, 162297.640625, -187500.015625, -187500.015625, 162439.546875, 162370.625, -187500.015625, 162374.59375, 0.012000000569969416, 0.581000030040741, 0.19200000911951065, 192.0, 0.0, 56.0, 10.5, 112.0, 3.5, 24.0, 0.0, 0.0, 0.0, 1.6166613216418736E9, 2021-03-25 11:35:21.641
8.0, 118753.765625, 118722.828125, -187500.015625, 118814.71875, 118841.046875, 118785.7265625, 118763.6015625, 118670.5703125, -187500.015625, 162277.140625, -187500.015625, -187500.015625, 162418.984375, 162350.03125, -187500.015625, 162354.03125, 0.012000000569969416, 0.581000030040741, 0.19200000911951065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661321641878E9, 2021-03-25 11:35:21.641
10.0, 118636.1484375, 118605.015625, -187500.015625, 118696.8984375, 118723.34375, 118668.0, 118645.8515625, 118552.9296875, -187500.015625, 162256.765625, -187500.015625, -187500.015625, 162398.734375, 162329.828125, -187500.015625, 162333.765625, 0.012000000569969416, 0.581000030040741, 0.19200000911951065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613216418817E9, 2021-03-25 11:35:21.641
12.0, 118656.4921875, 118625.4453125, -187500.015625, 118717.2890625, 118743.546875, 118688.40625, 118666.1640625, 118573.2734375, -187500.015625, 162234.984375, -187500.015625, -187500.015625, 162376.859375, 162307.90625, -187500.015625, 162311.796875, 0.012000000569969416, 0.581000030040741, 0.19200000911951065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661321641886E9, 2021-03-25 11:35:21.641
14.0, 118559.078125, 118528.1015625, -187500.015625, 118619.875, 118646.1875, 118590.9765625, 118568.734375, 118475.953125, -187500.015625, 162213.84375, -187500.015625, -187500.015625, 162355.734375, 162286.75, -187500.015625, 162290.640625, 0.012000000569969416, 0.581000030040741, 0.19200000911951065, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61666132164189E9, 2021-03-25 11:35:21.641
16.0, 118510.4453125, 118479.375, -187500.015625, 118571.21875, 118597.6171875, 118542.2265625, 118520.078125, 118427.3828125, -187500.015625, 162193.375, -187500.015625, -187500.015625, 162335.328125, 162266.4375, -187500.015625, 162270.390625, 0.016000000992789865, 0.6975000202655792, 0.23000000789761543, 192.0, 0.0, 80.0, 12.5, 56.0, 4.0, 48.0, 0.0, 0.0, 0.0, 1.616661321641894E9, 2021-03-25 11:35:21.641
18.0, 118504.9921875, 118473.7890625, -187500.015625, 118565.6953125, 118592.09375, 118536.8203125, 118514.6640625, 118421.8828125, -187500.015625, 162172.96875, -187500.015625, -187500.015625, 162314.828125, 162245.984375, -187500.015625, 162249.875, 0.016000000992789865, 0.6975000202655792, 0.23000000789761543, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613216418982E9, 2021-03-25 11:35:21.641
20.0, 118385.3359375, 118354.203125, -187500.015625, 118446.0703125, 118472.4453125, 118417.1875, 118395.015625, 118302.3671875, -187500.015625, 162150.59375, -187500.015625, -187500.015625, 162292.546875, 162223.59375, -187500.015625, 162227.5, 0.016000000992789865, 0.6975000202655792, 0.23000000789761543, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613216419024E9, 2021-03-25 11:35:21.641
